timestamp,participant_id,question_no,question,answer,source,bi_score,ce_score,rating,comment
2026-04-19T11:07:25.825031,P11,1,Do I need to have any prior knowledge or complete any specific courses before taking this module?,You don't need any prerequisites,Transcript,0.4174,-3.0657,5,
2026-04-19T11:08:32.696983,P11,2,"How many credit points does this module offer, and how much workload should I expect?","Irrelevant question, out of context",Filtered as not relevant (bi=0.165 ce=-8.70),0.1646,-8.6969,3,
2026-04-19T11:11:17.674216,P11,3,"What language is this module taught in? Is it offered in German, English, or both?",English,Transcript + Excel,0.2784,-9.1177,5,
2026-04-19T11:12:35.332349,P11,4,"Who is responsible for teaching this module, and which department offers it?",DMEA,Transcript + Excel,0.384,-4.9319,3,
2026-04-19T11:14:18.514258,P11,5,"Would this module be suitable for students in their first few semseters, or is it more advanced",Data Management in Engineering Applications,Transcript,0.4279,-4.6917,3,
2026-04-19T11:15:48.932780,P11,6,Why Magdeburg is always rainy during summer ?,"Irrelevant question, out of context",Filtered as not relevant (bi=0.009 ce=-11.08),0.0085,-11.076,3,
2026-04-19T11:17:30.855297,P11,7,What topics or main content areas are covered in this module?,specific requirements that you find in engineering,Transcript,0.3108,-7.2327,3,
2026-04-19T11:18:38.966990,P11,8,"How will this module be assessed? Is the exam written, oral, seminar-based, or something else?",Written,Transcript + Excel,0.3804,-8.4318,5,
2026-04-19T11:19:17.842577,P11,9,How can this module help me with my future career or job opportunities?,if I take it in job prospect,Transcript,0.3989,-5.6852,3,
2026-04-19T11:19:47.268992,P11,10,Would it be possible to write my thesis in a topic related to this module?,This information is not available in the module's training sources.,Not found in knowledge base,0.3236,1.532,4,
2026-04-19T11:20:33.155557,P11,11,What should I focus on to perform well in the exam for this module?,illustrating some of the basic principles,Transcript,0.4706,-2.9497,4,
2026-04-19T11:21:17.960074,P11,12,How long is the distance from India to Germany?,"Irrelevant question, out of context",Filtered as not relevant (bi=0.091 ce=-11.22),0.0911,-11.2199,5,
2026-04-19T12:59:22.035385,P2,1,What are the prerequistes for this course?,This information is not available in the module's training sources.,Not found in knowledge base,0.3786,-3.8391,2,
2026-04-19T13:00:01.093860,P2,2,How many credits do i get at the end of the course,Engineering or databases,Transcript + Excel,0.3367,-6.8902,2,
2026-04-19T13:00:35.253618,P3,1,Do i need to complete some subjects before taking this module? what are the prerequisites?,You don't need any prerequisites,Transcript,0.3929,-3.4713,3,
2026-04-19T13:00:42.878276,P2,3,which department offers this course,DMEA,Transcript,0.492,0.1084,2,
2026-04-19T13:01:21.957303,P2,4,when is it advisable to take this course?,every week,Transcript,0.4044,-0.809,1,
2026-04-19T13:01:42.336163,P3,2,How many credit points will I get after completing this module? Do I have to complete assignments during the course?,6,Transcript + Excel,0.305,-6.0898,2,
2026-04-19T13:01:59.264306,P2,5,how does the lecture take place inpresence or virtual,This information is not available in the module's training sources.,Not found in knowledge base,0.2624,-6.2758,1,
2026-04-19T13:02:20.076217,P3,3,Is the course taught in German? what about the exam?,This information is not available in the module's training sources.,Not found in knowledge base,0.3793,-3.9712,1,
2026-04-19T13:02:29.541644,P2,6,what are the topics for this course,specific requirements that you find in engineering,Transcript,0.5466,2.5133,2,
2026-04-19T13:02:54.255955,P3,4,Which department offers this course? and what is the name of the Professor?,Eike Schallehn,Transcript + Excel,0.4729,0.7462,2,
2026-04-19T13:03:02.079791,P2,7,How is the examintaiton conducted,Written exam (120 min),Transcript + Excel,0.2883,-7.91,4,
2026-04-19T13:03:32.789022,P3,5,Is this course aimed at later semester students or even freshers can take it up?,This information is not available in the module's training sources.,Not found in knowledge base,0.4142,-1.6084,1,
2026-04-19T13:03:41.472907,P2,8,what knolegde do i get at the end of the course,a good master thesis topic in this department,Transcript + Excel,0.3236,-5.283,1,
2026-04-19T13:04:13.246833,P3,6,Is the earth sphere shaped or square shaped?,"Irrelevant question, out of context",Filtered as not relevant (bi=0.049 ce=-10.92),0.0489,-10.9224,4,
2026-04-19T13:04:25.786041,P2,9,what are the thesis topic that i can work after completing this subject,This information is not available in the module's training sources.,Not found in knowledge base,0.471,3.7517,2,
2026-04-19T13:04:59.899289,P2,10,who conducts this course?,DMEA,Transcript,0.4592,-1.8493,1,
2026-04-19T13:05:16.943014,P3,7,What is the main focus of this module? what are the subject areas?,"engineering, applications, meeting, IT",Transcript,0.3718,-9.2343,3,
2026-04-19T13:05:30.930066,P2,11,how often the lecture and exercise takes place ?,less often,Transcript + Excel,0.3939,-1.1943,1,
2026-04-19T13:05:43.201510,P3,8,What is the format and duration of the exam?,120 min),Transcript + Excel,0.3526,-5.2755,2,
2026-04-19T13:06:23.206845,P3,9,What are the core skills that I will gain after completing this module? what are the career prospects?,This information is not available in the module's training sources.,Not found in knowledge base,0.471,-3.5854,1,
2026-04-19T13:07:23.989469,P3,10,What are some tips to prepare and perform well in the exam?,This information is not available in the module's training sources.,Not found in knowledge base,0.5722,0.64,1,
2026-04-19T13:08:00.756191,P3,11,Can i do a thesis in the same module if im taking it?,This information is not available in the module's training sources.,Not found in knowledge base,0.3082,-0.9838,1,
2026-04-19T13:08:18.160887,P3,12,Did the chicken come first or the egg?,"Irrelevant question, out of context",Filtered as not relevant (bi=-0.009 ce=-10.60),-0.0087,-10.5961,4,
2026-04-19T13:09:21.178013,P1,1,is this a inperson or remote couse and wats the course points for this couse r,This information is not available in the module's training sources.,Not found in knowledge base,0.3241,-10.5966,2,
2026-04-19T13:11:09.352474,P1,2,whats the qualification of the teacher,master,Transcript + Excel,0.2711,-5.4269,1,
2026-04-19T13:11:53.723235,P1,3,whats the teachers name,"Irrelevant question, out of context",Filtered as not relevant (bi=0.215 ce=-3.65),0.2148,-3.6531,1,
2026-04-19T13:13:17.267417,P1,4,what is the credit point for this course,6,Transcript + Excel,0.3494,0.6398,5,
2026-04-19T13:14:52.229016,P1,5,is this in summer or winter semester course,winter,Transcript + Excel,0.3575,-5.3868,5,
2026-04-19T13:17:45.485261,P1,6,what the professors name,This information is not available in the module's training sources.,Not found in knowledge base,0.2661,-2.678,2,
2026-04-19T13:19:09.400144,P1,7,is this meant for  masters or bachelors student ?,masters,Transcript,0.4109,-1.8452,5,
2026-04-19T13:21:05.446059,P1,8,when did micheal jackson release Billie jean song release,"Irrelevant question, out of context",Filtered as not relevant (bi=-0.031 ce=-11.18),-0.0308,-11.1809,5,
2026-04-19T13:21:53.358639,P1,9,is this course taught in english,DMEA,Transcript,0.3888,1.3328,1,
2026-04-19T14:23:38.757579,P15,1,What are the prerequisites of this module,no prerequisites,Transcript + Excel,0.2693,-3.8166,,
2026-04-19T14:24:48.632517,P15,2,What type of background did I need to have a base in this subject,foundational,Transcript,0.3102,-2.6043,4,Its better to have the answer as a sentence
2026-04-19T17:15:03.020500,P10,1,what are the pre-requisites for this course?,This information is not available in the module's training sources.,Not found in knowledge base,0.4534,-0.1059,,
2026-04-19T17:17:49.620808,P10,2,how many credit points does DMEA course have and what is the expected workload?,6,Transcript + Excel,0.4249,1.3731,2,only answered part of question
2026-04-19T17:18:43.622811,P10,3,what is the the teaching medium/language of the module?,English,Transcript + Excel,0.3482,-10.3232,4,
2026-04-19T17:19:46.980271,P10,4,"This course comes under which department, who is the related faculty?",DMEA,Transcript,0.4387,-3.2189,1,
2026-04-19T17:20:57.064286,P10,5,"For a 1st semester student, what is the difficulty level?",This information is not available in the module's training sources.,Not found in knowledge base,0.4561,-9.0414,1,
2026-04-19T17:21:52.961341,P10,6,when is FIFA worldcup starting,"Irrelevant question, out of context",Filtered as not relevant (bi=0.028 ce=-10.95),0.0285,-10.9541,2,
2026-04-19T17:23:10.108887,P10,7,which topics will be covered in this module?,Engineering or databases,Transcript,0.3703,-3.4943,3,
2026-04-19T17:23:58.825618,P10,8,how will the examination be conducted?,on the first day of the lecture,Transcript + Excel,0.362,-2.5742,,
2026-04-19T17:25:06.409538,P10,9,what are the the career prospects of this module,This information is not available in the module's training sources.,Not found in knowledge base,0.4101,-4.3777,,
2026-04-19T17:26:03.766071,P10,10,what are the recent focus areas to do a master thesis in this module,This information is not available in the module's training sources.,Not found in knowledge base,0.5609,-1.682,1,
2026-04-19T17:26:37.267970,P10,11,how do i perform well in the exam?,This information is not available in the module's training sources.,Not found in knowledge base,0.5391,0.8158,1,
2026-04-19T17:27:03.239421,P10,12,which country is hosting fifa?,"Irrelevant question, out of context",Filtered as not relevant (bi=-0.007 ce=-10.79),-0.0074,-10.7884,3,
2026-04-19T19:19:56.708644,P13,1,Define IGES,"Irrelevant question, out of context",Filtered as not relevant (bi=0.125 ce=-7.57),0.125,-7.5662,,
2026-04-19T19:20:37.575318,P13,2,Functionality of PLM systems,"Irrelevant question, out of context",Filtered as not relevant (bi=0.222 ce=-10.31),0.2217,-10.3105,,
2026-04-19T19:21:20.712994,P18,1,Rate the prospects of the course,This information is not available in the module's training sources.,Not found in knowledge base,0.3423,-3.9785,,
2026-04-19T19:21:38.486394,P4,1,CAn you tell me about the course DMEA?,This information is not available in the module's training sources.,Not found in knowledge base,0.6728,3.9806,1,
2026-04-19T19:22:16.834551,P18,2,Explain the prospects of the course,This information is not available in the module's training sources.,Not found in knowledge base,0.4649,1.2918,1,
2026-04-19T19:23:22.507908,P18,3,Explain the topics covered in the course,This information is not available in the module's training sources.,Not found in knowledge base,0.5631,1.3831,1,
2026-04-19T19:23:53.908701,P4,2,Do I need to complete some other course first in order to take this module?,This information is not available in the module's training sources.,Not found in knowledge base,0.368,1.4162,1,I asked about prerequisite and still it gave no information.
2026-04-19T19:24:03.220336,P18,4,How many credits are covered in the course,6,Transcript + Excel,0.3436,-4.6754,5,
2026-04-19T19:24:41.623090,P18,5,What is the level of the course,basic,Transcript + Excel,0.4085,-2.5248,3,
2026-04-19T19:25:20.870611,P4,3,How is this course taught? Can i do it online?,This information is not available in the module's training sources.,Not found in knowledge base,0.4065,0.8062,1,No information available about how the course is conducted.
2026-04-19T19:25:39.090222,P18,6,What is the crime statistics in Magdeburg,"Irrelevant question, out of context",Filtered as not relevant (bi=0.029 ce=-11.09),0.0289,-11.0869,4,
2026-04-19T19:26:41.057267,P4,4,How much time do I need to invest in this course over the semester?,This information is not available in the module's training sources.,Not found in knowledge base,0.3064,-6.117,1,
2026-04-19T19:27:30.529940,P4,5,Are exercise classes mandatory  to attend in this course?,It's not strictly required that you are there every week,Transcript + Excel,0.3712,1.233,3,"Gave an answer about the requirement of exercise class, however, still not clear how many classes one is supposed to attend."
2026-04-20T16:31:54.764440,P13,1,Explain data locking,"Irrelevant question, out of context",Filtered as not relevant (bi=0.246 ce=-7.73),0.2456,-7.7341,,
2026-04-20T16:32:21.223178,P13,2,Explain synchronisation,"Irrelevant question, out of context",Filtered as not relevant (bi=0.080 ce=-9.72),0.0805,-9.7166,,
2026-04-20T16:34:21.652982,P13,3,What is credits of this course,6,Transcript + Excel,0.3688,-1.9053,,
2026-04-20T16:34:45.891322,P13,4,Language of course,"Irrelevant question, out of context",Filtered as not relevant (bi=0.199 ce=-3.97),0.1987,-3.9733,,
2026-04-20T16:35:20.537811,P13,5,Prerequisites of subject,This information is not available in the module's training sources.,Not found in knowledge base,0.4127,-1.8011,,
2026-04-20T16:36:11.416484,P13,6,What basic understanding of subject should be known by the student,understanding the basic concepts,Transcript,0.48,-0.1599,,
2026-04-20T16:36:54.653237,P13,7,What is the professors name?,Professor Saake,Transcript,0.2602,-3.2934,,
2026-04-20T16:37:33.736771,P13,8,What is difficulty level of subject?,This information is not available in the module's training sources.,Not found in knowledge base,0.2935,-8.9612,1,
2026-04-20T16:38:18.211686,P13,9,What are prerequisites for this course?,relatively basic,Transcript,0.4438,1.0634,1,
2026-04-20T16:38:49.636242,P13,10,Who teaches this subject?,Professor Saake,Transcript,0.3658,-2.3763,5,
2026-04-20T16:39:21.250363,P13,11,How many modules are there?,"Irrelevant question, out of context",Filtered as not relevant (bi=0.164 ce=-9.82),0.1639,-9.8241,2,
2026-04-20T17:46:53.271714,P12,1,what is the capital of Italy,"Irrelevant question, out of context",Filtered as not relevant (bi=-0.012 ce=-10.77),-0.0118,-10.7693,5,
2026-04-20T17:47:43.573803,P12,2,say about the level of course (basic/advanced),basic,Transcript,0.5414,1.2702,5,
2026-04-20T17:48:37.121320,P12,3,what are the strategies to perform well in the exam,This information is not available in the module's training sources.,Not found in knowledge base,0.5484,1.5177,3,
2026-04-20T17:49:18.334761,P12,4,what are the prospects of doing a thesis in the same domain/module related thesis,This information is not available in the module's training sources.,Not found in knowledge base,0.4309,-3.1368,3,
2026-04-20T17:49:46.710870,P12,5,who teaches this module,Eike Schallehn,Transcript + Excel,0.381,-5.8166,5,
2026-04-20T17:50:11.057428,P12,6,what are the career prospects of this module.,This information is not available in the module's training sources.,Not found in knowledge base,0.4172,-4.2072,3,
2026-04-21T18:05:00.692922,P6,1,"How many credit points will I get for this subject DMEA, if I am a student of  MSc DKE course and not from MSc DE course?",6,Transcript + Excel,0.454,-5.1333,2,
2026-04-21T18:07:12.425361,P6,2,Who teaches this course ? Which department offers this course?,DMEA,Transcript,0.4878,1.6039,,
2026-04-21T18:09:55.485873,P6,1,What are the requirements of this course?,This information is not available in the module's training sources.,Not found in knowledge base,0.4866,1.7874,3,
2026-04-21T18:11:06.685375,P6,2,Who is offering this course?,Data Management in Engineering Applications,Transcript,0.4134,-1.2133,2,
2026-04-21T18:11:59.129096,P6,3,What is the language of instruction?,English,Transcript,0.273,-6.5422,4,
2026-04-21T18:12:52.556300,P6,4,what is the expected workload?,"Irrelevant question, out of context",Filtered as not relevant (bi=0.205 ce=-9.23),0.2052,-9.2286,2,
2026-04-21T18:14:04.084939,P6,5,In which city is this course offered?,relatively basic,Transcript,0.3946,-5.8045,1,
2026-04-21T18:17:28.183562,P6,6,What are the career opportunities if I take this course?,This information is not available in the module's training sources.,Not found in knowledge base,0.4778,0.4773,1,
2026-04-21T18:18:31.321599,P6,7,List of contents in this course?,This information is not available in the module's training sources.,Not found in knowledge base,0.4754,-2.7824,1,
